ID specimen group Testudines juvenile
Apalone_spinifera_1 FMNH22178 Trionychia crown no
Caretta_caretta_1 NHMUK19403151 Chelonioidea crown no
Chelonia_mydas ZMB37416M Chelonioidea crown no
Chelodina_reimanni ZMBH49659 Chelidae crown no
Chelydra_serpentina_1 UFRVP1 Chelydroidea crown no
Emys_orbicularis_1 WGJ1987a Testudinoidea crown no
Emydura_subglobosa_1 PIMUZ200937 Chelidae crown no
Emydura_subglobosa_2 IW92 Chelidae crown yes
Eubaena_cephalica DMNH96004 Paracryptodira non_crown no
Kinosternon_subrubrum_1 FMNH211711 Chelydroidea crown no
Macrochelys_temminckii GPITRE10801 Chelydroidea crown no
Malacochersus_tornieri SMF58702 Testudinoidea crown no
Naomichelys_speciosa FMNHPR273 Helochelydridae non_crown no
Pelusios_niger SMNS4625 Pelomedusoides crown yes
Pelodiscus_sinensis IW5762 Trionychia crown no
Platysternon_megacephalum_1 SMF69684 Testudinoidea crown no
Platysternon_megacephalum_2 R12559 Testudinoidea crown no
Podocnemis_erythrocephala SMNS6063 Pelomedusoides crown yes
Podocnemis_unifilis SMF55470 Pelomedusoides crown no
Proganochelys_quenstedti_1 MB1910452 Proganochelydae non_crown no
Annemys IVPPV18106 Xinjiangchelyidae non_crown no
Apalone_spinifera_2 R12970 Trionychia crown yes
Caretta_caretta_2 IW1681 Chelonioidea crown yes
Carettochelys_insculpta USNM327690 Trionychia crown no
Chelydra_serpentina_2 R14442 Chelydroidea crown yes
Cuora_amboinensis_1 NHMUK69421454 Testudinoidea crown no
Cuora_amboinensis_2 SMNS48672 Testudinoidea crown yes
Emys_orbicularis_2 SMNS11390 Testudinoidea crown yes
Kinosternon_subrubrum_2 R10089 Chelydroidea crown no
Rhinochelys_pulchriceps CAMSMB55775 Chelonioidea crown no
Sandownia_harrisi MIWG3480 Angolachelonia crown no
Xinjiangchelys_radiplicatoides IVPPV9539 Xinjiangchelyidae non_crown no
Proganochelys_quenstedti_2 SMNS16980 Proganochelydae non_crown no
Chelonoidis_chilensis MPFEFAC25 Testudinoidea crown no
Bothremys_cooki holotype Pelomedusoides crown no
Chedighai_barberi FMNHPR247 Pelomedusoides crown no
Erymnochelys_madagascariensis AMNH63579 Pelomedusoides crown no
Gopherus_berlandieri AMNH73816 Testudinoidea crown no
Kinixys_belliana AMNH10028 Testudinoidea crown no
Meiolania_platyceps MMF13825a Meiolaniformes non_crown no
Niolamia_argentina MLP2640 Meiolaniformes non_crown no
Plesiochelys_etalloni MH435 Angolachelonia crown no
Rhinoclemmys_fenerea YPM12174 Testudinoidea crown no
Testudo_graeca YPM14342 Testudinoidea crown no
Testudo_hermanni AMNH134518 Testudinoidea crown no
Yuraramirim_montealtensis MPMA04000889 Pelomedusoides crown no
Plesiobaena_antiqua UCMP49759 Paracryptodira non_crown no
