Genus,Species,sex,ID,CL,CW,mass,HL,HW,HH,LJL,BF,diet
Amyda,cartilagina,,EC1,130.24,104.19,199.79,35.05,22.78,16.7,21.45,39.63,biter_car
Amyda,cartilagina,,AC2,241.3,190.5,1675,58.19,41.32,37.7,33.89,381.23,biter_car
Apalone,ferox,,AF3,45.69,39.52,20.16,20.73,12.83,9.17,14.05,6.02,insectivorous
Apalone,ferox,,AF1,61.63,52.68,29.29,25.86,12.97,10.46,14.8,8.37,insectivorous
Apalone,ferox,,AF2,63.38,56.28,41.64,24.45,13.95,10.28,15.73,8.22,insectivorous
Apalone,ferox,,AFR,150.25,118.38,365.34,48.01,23.64,17.68,30.02,29.39,insectivorous
Apalone,ferox,,AF4,235,175.11,,,,,,155.5,insectivorous
Apalone,spiniferus,,AS3,137.66,120.19,262.5,43.42,20.68,14.4,28.06,10.24,insectivorous
Apalone,spiniferus,,AS2,140.41,119.05,234.73,36.89,20.55,14.99,23.7,10.24,insectivorous
Apalone,spiniferus,,AS1,146.17,126.63,282,41.09,22.3,14.85,27.5,16.15,insectivorous
Callagur,borneoensis,,CB2,342.9,254,5955,79.13,48.64,41.23,52.83,88.27,herbivorous
Callagur,borneoensis,,CB1,431.8,292.1,14175,94.97,56.26,50.46,74.45,205.64,herbivorous
Caretta,caretta,,,56.65,,36,24.26,18.23,15.43,17.68,2.48,omnivorous
Caretta,caretta,,,114.69,,286,41.52,27.76,25.96,31.8,10.19,omnivorous
Caretta,caretta,,chad,271,,5280,80.71,55.58,46.94,62.89,93.55,omnivorous
Caretta,caretta,,elmo,720,,110000,208.89,138.33,123.22,178.26,1221.21,omnivorous
Chelonia,mydas,,,101.16,,126,34.48,22.81,21.13,22.62,2.37,omnivorous
Chelonia,mydas,,bumpy,295,,6270,79.83,49.67,46.52,54,79.04,omnivorous
Chelonia,mydas,,wings,510,,39820,118.67,79.99,76.8,109.62,174.2,omnivorous
Chelus,fimbriatus,,CF2,128.92,92.29,340.7,36.5,42,18.31,29.19,6.6,piscivorous
Chelus,fimbriatus,,CF1,129.05,89.84,252.4,36.47,44.02,19.21,28.78,3.23,piscivorous
Chelus,fimbriatus,,CF3,163.23,117.01,621,41.97,51.72,24.31,35.42,5.54,piscivorous
Chelydra,serpentina,,CS6,67.31,57.47,79.54,27.43,18.96,14.39,17.99,12.57,biter_car
Chelydra,serpentina,,CS10,69.9,61.98,19.42,27.32,19.42,15.88,20.47,9.39,biter_car
Chelydra,serpentina,,CS3,119.86,103.64,382.03,49.28,32.11,22.75,30.14,58.88,biter_car
Chelydra,serpentina,,CS2,127.11,109.19,606,49.5,34.85,22.77,35.8,78.75,biter_car
Chelydra,serpentina,,CS1,130.66,117.3,690,50.65,35.66,25.51,36.1,54.46,biter_car
Chelydra,serpentina,,CS4,132.94,112.33,476.5,53.27,36.96,25.82,36.88,78.75,biter_car
Chelydra,serpentina,,CS5,135.82,116.71,590,47.63,35.97,24.24,35.47,83.72,biter_car
Chelydra,serpentina,,CSL4,260,235,4950,93.75,66.23,47.37,69.99,413.65,biter_car
Chelydra,serpentina,,CSL1,368,344,13050,96.17,101.16,57.7,68.63,436.71,biter_car
Chelydra,serpentina,,CSL3,372.61,318,5850,106.69,82.09,60.61,68.13,415.05,biter_car
Chelydra,serpentina,,CSL2,386.09,267.38,16650,118.28,100.48,65.76,95.18,656.81,biter_car
Chinemys,reevesi,,CR1,96.66,65.69,137.35,20.47,18.01,13.17,20.07,19.96,omnivorous
Dogania,subplanus,,DS1,101.94,84.91,138.33,38.95,25.1,16.79,29.67,32.3,biter_car
Dogania,subplanus,,DS2,109.1,87.2,111.28,37,24.93,15.6,29.77,29.39,biter_car
Dogania,subplanus,,DS3,197.98,154.01,735,63.48,41.53,29.21,40.1,50.2,biter_car
Elseya,novaguinea,,EN1,107.22,88.25,126.37,28.55,19.58,13.45,18.46,9.54,insectivorous
Elseya,novaguinea,,EN2,210,165.7,1359,51.77,35.53,29.33,36.32,60.68,insectivorous
Emydura,subglosbosa,,ES,101.38,82.57,118.7,25.52,17.23,13.07,17.73,1.91,insectivorous
Eretmochelys,imbricata,,goose,570,,44220,150.03,80.82,80.4,113.79,317.85,omnivorous
Geoemyda,spengleri,,GS2,94.51,66.48,118,26.48,15.75,13.44,19.34,11.74,insectivorous
Geoemyda,spengleri,,GS1,97.5,70.15,133.83,25.65,15.33,14.88,20.76,11.44,insectivorous
Gopherus,evgoodei,M,18,187,,132,39.5,29.5,21.8,,19.028,herbivorous
Gopherus,evgoodei,M,13,224,,165,24.8,36.6,52,,44.957,herbivorous
Gopherus,evgoodei,M,20,233,,162,53.9,31,27,,29.681,herbivorous
Heosemys,grandis,,HG,266.7,203.2,2866,65.67,,31.4,35.06,102.35,herbivorous
Kinosternon,alamosae,M,10,108.2,,69.8,34.3,21,15.8,,21.306,biter_car
Kinosternon,alamosae,M,1,109.9,,71,33.8,21.9,15.7,,25.728,biter_car
Kinosternon,alamosae,F,11,116.3,,74.3,32.9,21.6,17.7,,19.43,biter_car
Kinosternon,alamosae,F,6,116.5,,73.3,33.2,20.5,15.6,,21.842,biter_car
Kinosternon,alamosae,F,2,117.2,,72.1,30.2,21.5,16.6,,19.832,biter_car
Kinosternon,alamosae,M,3,125.3,,77.3,39.8,26.5,19.2,,31.557,biter_car
Kinosternon,alamosae,M,4,125.8,,75.9,37.3,24.5,16.8,,33.165,biter_car
Kinosternon,carinatus,m,KC2,121.69,82.74,258.4,42.2,29.23,23.15,27.89,148.17,omnivorous
Kinosternon,carinatus,f,KC1,123.65,85.4,294.5,39.72,28.34,23.32,28.72,68.92,omnivorous
Kinosternon,chimalhuaca,M,330,113.8,,73.5,34,23.9,15.8,,25.862,biter_car
Kinosternon,chimalhuaca,F,10,114.2,,75.8,31.6,23.1,17.8,,23.517,biter_car
Kinosternon,chimalhuaca,M,319,117.2,,73.7,33.8,23.9,16.2,,34.17,biter_car
Kinosternon,chimalhuaca,F,19,119.5,,81,29.8,23.5,16.4,,23.517,biter_car
Kinosternon,chimalhuaca,F,44,123.5,,77.8,35.3,25.5,17.2,,21.775,biter_car
Kinosternon,chimalhuaca,M,321,128.8,,82.8,40.5,29.8,21,,65.392,biter_car
Kinosternon,chimalhuaca,M,34,132.5,,79.2,38.3,28.2,20,,42.746,biter_car
Kinosternon,chimalhuaca,M,302,132.6,,87.8,38.7,26.2,18.9,,35.912,biter_car
Kinosternon,chimalhuaca,M,26,141.8,,87,47.3,31.2,21.3,,32.495,biter_car
Kinosternon,chimalhuaca,M,40,145.3,,94.9,48.8,33.8,23.2,,42.545,biter_car
Kinosternon,chimalhuaca,M,36,151,,90.8,47.8,34.2,22.9,,42.612,biter_car
Kinosternon,chimalhuaca,M,320,153.3,,95.8,49.6,35,25,,77.921,biter_car
Kinosternon,creaseri,F,4021,106.5,,71.5,34.6,21.5,17.2,,62.913,biter_car
Kinosternon,creaseri,F,2,107.8,,71.9,30.8,21.5,16.7,,63.717,biter_car
Kinosternon,creaseri,F,4027,107.8,,73.3,32.2,22.1,15.9,,51.121,biter_car
Kinosternon,creaseri,F,4055,107.8,,73.8,37.8,22.9,17,,43.215,biter_car
Kinosternon,creaseri,F,1,107.9,,71.8,33.8,21.5,16.8,,63.851,biter_car
Kinosternon,creaseri,M,3,110.4,,71.9,37.6,26.1,18.5,,63.248,biter_car
Kinosternon,creaseri,M,4007,112.4,,75.1,36.1,23.9,17.7,,58.96,biter_car
Kinosternon,creaseri,M,201,113.2,,72.4,36.7,24.3,18.8,,57.888,biter_car
Kinosternon,creaseri,F,4,122.8,,79.6,36.8,24,17.7,,56.548,biter_car
Kinosternon,integrum,M,80,129.8,,84.2,44,27.8,19.3,,37.855,biter_car
Kinosternon,integrum,M,79,135.7,,86.2,42.3,28.3,19.7,,46.096,biter_car
Kinosternon,integrum,F,81,143.7,,90.8,46.8,28,21.1,,42.277,biter_car
Kinosternon,integrum,M,24,158.8,,96.6,47.2,33.2,24.2,,77.05,biter_car
Kinosternon,integrum,F,82,162,,103.5,41.9,32.9,24.3,,49.58,biter_car
Kinosternon,integrum,M,78,163,,98.8,50.3,33.7,23.8,,75.643,biter_car
Kinosternon,oaxacae,F,1070,129,,85,36.6,25.2,16.4,,42.947,biter_car
Kinosternon,oaxacae,F,1383,133,,85.2,35.9,24.9,18.2,,32.361,biter_car
Kinosternon,oaxacae,M,1386,134.2,,88.1,45,28.5,18.1,,69.948,biter_car
Kinosternon,oaxacae,F,1385,136.7,,88.7,41.4,26.6,19.4,,37.788,biter_car
Kinosternon,oaxacae,M,1387,150.6,,92,45,31.4,20.9,,91.522,biter_car
Kinosternon,oaxacae,M,1388,153.1,,94.9,42.7,28.8,20.4,,73.231,biter_car
Kinosternon,oaxacae,M,7099,158.8,,99.7,48.7,35.4,22,,68.206,biter_car
Kinosternon,oaxacae,M,7098,160,,94.6,45.4,32.7,21.9,,69.948,biter_car
Kinosternon,oaxacae,M,4006,168.47,,101.2,49.8,33.8,20.2,,85.09,biter_car
Kinosternon,oaxacae,M,1389,174.13,,101.3,54.6,37.1,21.6,,87.502,biter_car
Kinosternon,scorpioides,,KS1,100.69,70.62,165.5,30.27,20.02,14.45,18.33,26.15,omnivorous
Kinosternon,scorpioides,,KS2,118.7,76.83,263.02,31.34,24.8,16.94,25.32,49.86,omnivorous
Kinosternon,scorpioides,m,,142.73,92.89,320,40.18,31.45,22.02,29.69,65.995,omnivorous
Kinosternon,subrubrum,,KSB1,88.57,59.34,133.05,32.16,21.4,16.92,21.77,35.21,durophagous
Leucocephalon,yuwonoi,F,33,179.5,,,47,32.8,23.4,25.7,24.522,herbivorous
Leucocephalon,yuwonoi,F,35,180.5,,,48,31,22,26.8,19.497,herbivorous
Leucocephalon,yuwonoi,F,31,186.2,,,47.8,32.9,22.4,26,25.393,herbivorous
Leucocephalon,yuwonoi,F,38,193.5,,,47.5,32,21.8,28,33.433,herbivorous
Leucocephalon,yuwonoi,F,36,195.8,,,48,33.5,23.5,29,37.52,herbivorous
Leucocephalon,yuwonoi,M,32,196.5,,,50,34,24.4,31,22.311,herbivorous
Leucocephalon,yuwonoi,M,34,224,,,57.8,39.4,25.04,29.8,47.436,herbivorous
Leucocephalon,yuwonoi,F,37,,,,43,29.7,20.5,28,32.83,herbivorous
Leucocephalon,yuwonoi,M,"""O""",,,,51.5,35.8,25.9,31,37.788,herbivorous
Leucocephalon,yuwonoi,M,"""R""",,,,52.2,34.7,24.7,30.6,46.565,herbivorous
Leucocephalon,yuwonoi,M,"""D""",,,,57.6,36.4,25.5,29.3,47.101,herbivorous
Leucocephalon,yuwonoi,M,"""P""",,,,55.5,36.8,25.2,28,49.446,herbivorous
Leucocephalon,yuwonoi,F,"""T""",,,,47.6,31.8,22.8,28.4,34.438,herbivorous
Leucocephalon,yuwonoi,M,"""E1""",,,,49.7,32.8,22.4,28,27.872,herbivorous
Macroclemys,temmincki,,MT2,74.72,67.08,105.89,31.35,27.05,18.57,28.79,39.43,biter_car
Macroclemys,temmincki,,MT3,76.35,64.58,114.44,31.24,26.07,18.97,26.34,39.28,biter_car
Macroclemys,temmincki,,MT1,79.66,69.26,130.52,35.1,27.5,19.9,29.58,45.71,biter_car
Macroclemys,temmincki,,MT4,198.98,166.31,1202,101.63,68.97,55.78,69.96,226.14,biter_car
Macroclemys,temmincki,,MT6,268,210,,86.46,84.52,65.79,84.35,439.45,biter_car
Malaclemys,terrapin,J,Sm. Hatchling,30.6,25.4,6.52,12,8,6.1,8.6,1.64,durophagous
