growthRate	water	detergent	daphnia
2.919085587	Tyne	aBrand	Clone1
2.49290403	Tyne	aBrand	Clone1
3.021804251	Tyne	aBrand	Clone1
2.350874335	Tyne	aBrand	Clone2
3.148173559	Tyne	aBrand	Clone2
4.423852931	Tyne	aBrand	Clone2
4.870958803	Tyne	aBrand	Clone3
3.897731347	Tyne	aBrand	Clone3
5.830881925	Tyne	aBrand	Clone3
2.3027171	Tyne	bBrand	Clone1
3.195969626	Tyne	bBrand	Clone1
2.829021095	Tyne	bBrand	Clone1
3.027499621	Tyne	bBrand	Clone2
5.285108403	Tyne	bBrand	Clone2
4.260954913	Tyne	bBrand	Clone2
4.049527754	Tyne	bBrand	Clone3
4.623400317	Tyne	bBrand	Clone3
5.625844909	Tyne	bBrand	Clone3
2.634182102	Tyne	cBrand	Clone1
3.513746393	Tyne	cBrand	Clone1
3.714657446	Tyne	cBrand	Clone1
3.862106084	Tyne	cBrand	Clone2
3.955181039	Tyne	cBrand	Clone2
3.044307782	Tyne	cBrand	Clone2
3.358051334	Tyne	cBrand	Clone3
5.633479467	Tyne	cBrand	Clone3
4.613174755	Tyne	cBrand	Clone3
2.200592859	Tyne	dBrand	Clone1
2.233799598	Tyne	dBrand	Clone1
3.357183631	Tyne	dBrand	Clone1
3.111763697	Tyne	dBrand	Clone2
4.842597624	Tyne	dBrand	Clone2
4.36259229	Tyne	dBrand	Clone2
2.23021006	Tyne	dBrand	Clone3
3.104322517	Tyne	dBrand	Clone3
4.762764289	Tyne	dBrand	Clone3
2.319406055	Wear	aBrand	Clone1
2.098190677	Wear	aBrand	Clone1
3.541968991	Wear	aBrand	Clone1
3.888784107	Wear	aBrand	Clone2
3.960037772	Wear	aBrand	Clone2
5.742290286	Wear	aBrand	Clone2
5.244230091	Wear	aBrand	Clone3
4.795048308	Wear	aBrand	Clone3
5.380755443	Wear	aBrand	Clone3
3.610532158	Wear	bBrand	Clone1
2.24765071	Wear	bBrand	Clone1
3.388947185	Wear	bBrand	Clone1
4.061629942	Wear	bBrand	Clone2
5.478983004	Wear	bBrand	Clone2
4.303407161	Wear	bBrand	Clone2
3.973059861	Wear	bBrand	Clone3
4.632224111	Wear	bBrand	Clone3
5.284316226	Wear	bBrand	Clone3
2.480983544	Wear	cBrand	Clone1
3.950709949	Wear	cBrand	Clone1
2.133731304	Wear	cBrand	Clone1
5.586468488	Wear	cBrand	Clone2
6.918344272	Wear	cBrand	Clone2
5.270420973	Wear	cBrand	Clone2
2.015706722	Wear	cBrand	Clone3
3.467041808	Wear	cBrand	Clone3
5.028927385	Wear	cBrand	Clone3
2.3071735	Wear	dBrand	Clone1
2.96227354	Wear	dBrand	Clone1
2.69976154	Wear	dBrand	Clone1
6.569411852	Wear	dBrand	Clone2
6.405129788	Wear	dBrand	Clone2
5.990972601	Wear	dBrand	Clone2
2.553241161	Wear	dBrand	Clone3
2.592765531	Wear	dBrand	Clone3
1.761603478	Wear	dBrand	Clone3
