Clade,Species,Specimen,MiL,JL,SCm,SCL
Bothremydidae,Cearachelys_placidoi,BSP-1976-I-160,NA,31.9,42.9,219.4
Carettochelyidae,Carettochelys_insculpta,SDZ-sn,NA,43.3,57,253.3
Carettochelyidae,Carettochelys_insculpta,CRI-14,NA,64.5,84.8,485.3
Carettochelyidae,Carettochelys_insculpta,SMF-56626,NA,75.8,86.3,472.4
Chelidae,Chelodina_colliei,CRI-4632,NA,48.2,54.4,274
Chelidae,Chelodina_expansa,SMF-67838,NA,43.6,45.9,256
Chelidae,Chelodina_expansa,QM-J-84101,NA,49.3,52,355.6
Chelidae,Chelodina_longicollis,USNM-61091,NA,NA,26.9,200.7
Chelidae,Chelodina_parkeri,USNM-231524,NA,42,46.7,250.7
Chelidae,Chelus_fimbriatus,MNHN-1897-67,39.7,56.8,63.5,NA
Chelidae,Chelus_fimbriatus,SMFR-71596,NA,NA,58.7,343.1
Chelidae,Chelus_fimbriatus,AMNH-70638,40.5,57.7,65.3,436.9
Chelidae,Chelus_fimbriatus,SMF-37146,NA,71.9,73.8,376.7
Chelidae,Chelus_fimbriatus,MPEG-0483,NA,NA,76.3,394.9
Chelidae,Chelus_fimbriatus,SMF-37178,NA,63.64,65.5,348
Chelidae,Elseya_dentata,QM-J-59279,26.3,34.2,41.3,353.2
Chelidae,Elseya_latisternum,CRI-6573,35.2,43,51.8,289.3
Chelidae,Emydura_macquarii,BMNH-26.8.26.5,26.6,32.4,42.2,NA
Chelidae,Elseya_lavarockum,QM-J-46284,40.2,48.2,61.1,358.2
Chelidae,Elseya_novagineae,USNM-313654,24.6,29.7,34.4,238
Chelidae,Emydura_macquarii,QM-J-61586,27.2,33.7,39.4,322
Chelidae,Emydura_subglobosa,USNM-231536,NA,NA,30.6,221.4
Chelidae,Hydromedusa_tectifera,AMNH-133629,NA,24.5,27.1,148.6
Chelidae,Hydromedusa_tectifera,SMF-70500,NA,29,31.1,170
Chelidae,Hydromedusa_tectifera,MACN-30461,NA,NA,37.8,196.8
Chelidae,Hydromedusa_tectifera,DGM-37-RR,NA,44.8,49.6,289.1
Chelidae,Mesoclemmys_nasuta,BMNH-1936.7.5.1,37.9,41.9,49.8,NA
Chelidae,Mesoclemmys_dahli,FMNH-82302,NA,NA,41.6,192.5
Chelidae,Mesoclemmys_hogei,MNRJ-RRS-001,NA,NA,28.1,208.2
Chelidae,Phrynops_geoffroanus,BMNH-91.3.16.1,46.8,58.1,79,NA
Chelidae,Phrynops_geoffroanus,MPEG-0478,NA,23.7,28.4,149.2
Chelidae,Phrynops_geoffroanus,AMNH-79048,NA,38.2,44.4,369.6
Chelidae,Phrynops_williamsi,BMNH-1884.2.5.3,NA,28.3,31.9,NA
Chelidae,Phrynops_geoffroanus,SMF-45471,NA,46.5,53.6,381
Chelidae,Phrynops_hilarii,FMNH-22481,NA,36,43.5,293.5
Chelidae,Phrynops_hilarii,SMF-45470,NA,41.7,49,310.6
Chelidae,Phrynops_hilarii,SMF-8010,NA,50.8,61.6,373.3
Chelidae,Rheodytes_leukops,QM-J-85198,NA,32.7,36.3,289.8
Chelidae,Rhinemys_rufipes,INPA-H-10288,NA,37,43.4,266.2
Cheloniidae,Caretta_caretta,AMNH-129869,NA,115.8,137,635
Cheloniidae,Caretta_caretta,ZMB-46511,NA,172.6,255.4,NA
Cheloniidae,Caretta_caretta,SMF-33080,NA,145,155,699
Cheloniidae,Caretta_caretta,SMF-7913,124,146,159,769
